
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
5.98404147e-002, -4.37935255e-003, 1.61722690e-001, 3.01385712e+002
5.93610778e-002, -8.73564463e-003, 1.71544120e-001, 3.00332001e+002
5.96405379e-002, -6.56183576e-003, 1.71544120e-001, 3.00384155e+002
5.96405454e-002, -6.56175474e-003, 1.73508406e-001, 3.00121368e+002
5.93610890e-002, -8.73555336e-003, 1.73508406e-001, 3.00077301e+002
5.96406199e-002, -6.56153774e-003, 1.75472692e-001, 3.01126984e+002
5.90024143e-002, -1.08977705e-002, 1.71544120e-001, 3.00286835e+002
5.90024292e-002, -1.08976932e-002, 1.73508421e-001, 3.00037598e+002
5.93611784e-002, -8.73530749e-003, 1.75472692e-001, 3.01019714e+002
5.96405342e-002, -6.56187162e-003, 1.69579834e-001, 3.00613922e+002
5.93610704e-002, -8.73568282e-003, 1.69579834e-001, 3.00555237e+002
5.90024032e-002, -1.08978311e-002, 1.67615548e-001, 3.00727936e+002
5.90024106e-002, -1.08978031e-002, 1.69579834e-001, 3.00504333e+002
6.00004867e-002, 4.98398890e-007, 1.73508406e-001, 3.00216675e+002
5.99604547e-002, -2.19084509e-003, 1.71544120e-001, 3.00474640e+002
6.00004867e-002, 4.98398890e-007, 1.71544120e-001, 3.00490997e+002
5.99604584e-002, -2.19081598e-003, 1.73508406e-001, 3.00193390e+002
6.00004867e-002, 4.98398890e-007, 1.75472692e-001, 3.01326141e+002
5.98404184e-002, -4.37926967e-003, 1.71544120e-001, 3.00433502e+002
5.99604733e-002, -2.19077547e-003, 1.75472692e-001, 3.01302460e+002
5.98404221e-002, -4.37921053e-003, 1.73508391e-001, 3.00163727e+002
5.98404706e-002, -4.37906943e-003, 1.75472692e-001, 3.01233856e+002
6.00004867e-002, 4.98398890e-007, 1.69579834e-001, 3.00736481e+002
5.99604547e-002, -2.19086045e-003, 1.69579834e-001, 3.00718567e+002
5.98404184e-002, -4.37929761e-003, 1.69579834e-001, 3.00673370e+002
